nranks,run_wall_s,speedup,efficiency,rss_max_mb_per_rank,rss_sum_mb,phase_sed_mean_s,phase_sea_mean_s,phase_flow_mean_s,phase_flow_dist_mean_s,phase_erosion_mean_s,phase_flow_fill_mean_s,phase_flexure_mean_s,phase_flow_ksp_mean_s,phase_flow_dir_mean_s,phase_flow_pitgraph_mean_s,phase_flow_pit_bcast_mean_s,phase_hillslope_mean_s,phase_tectonics_mean_s,phase_forcing_mean_s,phase_flow_pit_reduce_mean_s,phase_flow_pit_edges_mean_s,phase_output_mean_s
96,766.6097,1.0000,1.0000,24186.0,317273.3,271.4551,193.3477,155.3288,144.3744,126.8784,45.0952,13.3570,11.3623,5.8784,1.2830,1.2333,4.9012,1.1674,0.1209,0.0373,0.0081,0.0000
144,432.5172,1.7724,1.1816,24318.5,422773.4,144.9410,125.7253,92.5167,86.2288,54.7483,37.7929,10.7181,6.6906,3.5570,1.3667,1.3294,2.7334,0.9942,0.0802,0.0281,0.0060,0.0000
192,335.9888,2.2817,1.1408,24364.1,548867.9,113.1490,103.4959,66.8091,59.2095,38.5525,35.7599,10.6738,4.6070,2.6849,1.6127,1.5731,2.1057,1.0816,0.0609,0.0318,0.0050,0.0000
240,292.1674,2.6239,1.0495,24424.3,671389.0,104.1720,89.0355,54.8709,47.0077,30.4903,33.6425,10.8116,3.8046,2.2043,1.7260,1.6843,1.6064,1.0679,0.0489,0.0348,0.0043,0.0000
288,241.9246,3.1688,1.0563,24319.5,793644.7,78.9774,81.1626,44.7261,37.9779,23.6277,31.9425,10.9000,2.9222,1.7694,1.9238,1.8799,1.3140,1.1236,0.0408,0.0375,0.0040,0.0000
336,213.5715,3.5895,1.0256,24293.1,926268.8,64.9519,75.5489,39.2457,33.6355,20.3864,30.7276,11.0664,2.4442,1.5591,2.0186,1.9743,1.1442,1.1342,0.0349,0.0385,0.0035,0.0000
384,192.3321,3.9859,0.9965,24264.7,1054724.5,59.0967,68.6414,34.6136,27.9187,17.1430,31.5930,10.6630,2.2190,1.3074,2.1796,2.1320,0.9605,1.1419,0.0308,0.0421,0.0033,0.0000
432,183.9645,4.1672,0.9260,24290.3,1185564.3,56.4787,65.6486,31.9042,25.3201,16.6426,30.8088,10.9982,2.0007,1.1778,2.1771,2.1291,0.8762,1.2550,0.0276,0.0432,0.0028,0.0000
480,173.8383,4.4099,0.8820,24256.9,1281249.6,53.3176,63.1926,29.9481,23.6274,14.1110,30.7436,11.1976,1.8940,1.0823,2.3109,2.2619,0.7922,1.1560,0.0250,0.0442,0.0028,0.0000
528,157.2895,4.8739,0.8862,24248.4,1377659.0,44.8547,60.1260,26.7265,21.1768,12.3381,29.4772,11.2744,1.7133,1.0003,2.3520,2.3021,0.7099,1.1477,0.0228,0.0455,0.0025,0.0000
